berthage,section
201124,荔园路(蛇口西段)
204078,创业路(南油段)
204129,创业路(南油段)
204183,海德二道（南油段）
205098,后海大道辅道(后海段)
201198,招商路(蛇口西段)
202304,海月路(东段)
203291,荔园路(蛇口东段)
201159,荔园路(蛇口西段)
201168,荔园路(蛇口西段)
203290,荔园路(蛇口东段)
203296,荔园路(蛇口东段)
201183,招商路(蛇口西段)
201246,招商路(蛇口西段)
202207,金世纪路
203258,荔园路(蛇口东段)
205032,后海大道辅道(后海段)
205044,后海大道辅道(后海段)
201201,招商路(蛇口西段)
203350,工业九路
201126,荔园路(蛇口西段)
201167,荔园路(蛇口西段)
201174,荔园路(蛇口西段)
204202,海德二道（南油段）
201193,招商路(蛇口西段)
203368,工业九路
205081,后海大道辅道(后海段)
203279,荔园路(蛇口东段)
204009,南新路
204010,南新路
201218,招商路(蛇口西段)
203013,四海路
203366,工业九路
203374,工业九路
204208,海德二道（南油段）
205048,后海大道辅道(后海段)
203005,四海路
204123,创业路(南油段)
201097,荔园路(蛇口西段)
203021,四海路
203043,四海路
201199,招商路(蛇口西段)
203353,工业九路
201186,招商路(蛇口西段)
202235,金世纪路
203045,四海路
203360,工业九路
204090,创业路(南油段)
205049,后海大道辅道(后海段)
201112,荔园路(蛇口西段)
201235,招商路(蛇口西段)
203124,后海大道辅道(蛇口北段)
204181,海德二道（南油段）
204213,海德二道（南油段）
204137,创业路(南油段)
205037,后海大道辅道(后海段)
204126,创业路(南油段)
203299,荔园路(蛇口东段)
204114,创业路(南油段)
203063,后海大道辅道(蛇口北段)
201215,招商路(蛇口西段)
202216,金世纪路
203101,后海大道辅道(蛇口北段)
205080,后海大道辅道(后海段)
201116,荔园路(蛇口西段)
203031,四海路
204205,海德二道（南油段）
201153,荔园路(蛇口西段)
203106,后海大道辅道(蛇口北段)
205065,后海大道辅道(后海段)
201130,荔园路(蛇口西段)
201240,招商路(蛇口西段)
203282,荔园路(蛇口东段)
203268,荔园路(蛇口东段)
204091,创业路(南油段)
201117,荔园路(蛇口西段)
201160,荔园路(蛇口西段)
203380,工业九路
204064,创业路(南油段)
204188,海德二道（南油段）
201148,荔园路(蛇口西段)
201185,招商路(蛇口西段)
201128,荔园路(蛇口西段)
201157,荔园路(蛇口西段)
205045,后海大道辅道(后海段)
204119,创业路(南油段)
204194,海德二道（南油段）
204218,海德二道（南油段）
203264,荔园路(蛇口东段)
203376,工业九路
201156,荔园路(蛇口西段)
201203,招商路(蛇口西段)
203300,荔园路(蛇口东段)
204068,创业路(南油段)
201151,荔园路(蛇口西段)
202302,海月路(东段)
203036,四海路
203048,四海路
203266,荔园路(蛇口东段)
201234,招商路(蛇口西段)
202315,海月路(东段)
204065,创业路(南油段)
204138,创业路(南油段)
201154,荔园路(蛇口西段)
203006,四海路
204135,创业路(南油段)
202309,海月路(东段)
203012,四海路
204083,创业路(南油段)
201233,招商路(蛇口西段)
205028,后海大道辅道(后海段)
204192,海德二道（南油段）
203112,后海大道辅道(蛇口北段)
204098,创业路(南油段)
204195,海德二道（南油段）
205089,后海大道辅道(后海段)
203066,后海大道辅道(蛇口北段)
203072,后海大道辅道(蛇口北段)
204139,创业路(南油段)
205067,后海大道辅道(后海段)
205068,后海大道辅道(后海段)
201141,荔园路(蛇口西段)
203289,荔园路(蛇口东段)
204045,南新路
201196,招商路(蛇口西段)
205093,后海大道辅道(后海段)
201205,招商路(蛇口西段)
203285,荔园路(蛇口东段)
202312,海月路(东段)
204203,海德二道（南油段）
201188,招商路(蛇口西段)
202316,海月路(东段)
201231,招商路(蛇口西段)
203024,四海路
204174,海德二道（南油段）
203020,四海路
204191,海德二道（南油段）
204199,海德二道（南油段）
205027,后海大道辅道(后海段)
201173,荔园路(蛇口西段)
203077,后海大道辅道(蛇口北段)
203080,后海大道辅道(蛇口北段)
203370,工业九路
204042,南新路
204134,创业路(南油段)
201158,荔园路(蛇口西段)
201248,招商路(蛇口西段)
203068,后海大道辅道(蛇口北段)
204088,创业路(南油段)
204173,海德二道（南油段）
205021,后海大道辅道(后海段)
202307,海月路(东段)
203333,工业九路
203349,工业九路
205036,后海大道辅道(后海段)
201170,荔园路(蛇口西段)
203117,后海大道辅道(蛇口北段)
203128,后海大道辅道(蛇口北段)
204211,海德二道（南油段）
203055,四海路
203294,荔园路(蛇口东段)
205094,后海大道辅道(后海段)
202217,金世纪路
203356,工业九路
